Date,Open,High,Low,Close
2020-07-30,143.106,143.8603,141.1595,142.7755
2020-07-31,143.5199,143.9719,142.9593,143.6936
2020-08-03,143.8691,147.0954,143.7568,146.7718
2020-08-04,145.958,148.3004,145.5923,147.9156
2020-08-05,150.3326,150.9577,148.3839,148.7075
2020-08-06,148.8894,150.0919,148.4878,148.6037
2020-08-07,147.9377,148.961,146.5676,146.8549
2020-08-10,147.5954,148.412,147.3236,147.5839
2020-08-11,148.1132,148.3563,146.7563,146.8604
2020-08-12,147.3429,148.5953,147.3429,148.3629
2020-08-13,148.5025,149.2464,148.3423,148.9382
2020-08-14,149.2587,149.8719,148.7878,149.2091
2020-08-17,149.2091,150.9089,149.2091,150.874
2020-08-18,150.874,151.7478,150.5138,151.6949
2020-08-19,151.6949,152.0816,150.9965,152.0002
2020-08-20,152.0002,152.0002,149.6228,150.8217
2020-08-21,150.8217,150.8217,148.6921,149.9568
2020-08-24,149.9568,151.7324,149.9568,151.2593
2020-08-25,151.2593,152.8825,151.2593,152.643
2020-08-26,152.643,153.1938,152.273,152.4566
2020-08-27,152.4566,153.1212,151.557,152.7025
2020-08-28,152.7025,153.723,152.6125,153.439
2020-08-31,153.439,154.6519,152.954,153.2139
2020-09-01,153.2139,154.4959,153.2139,153.3436
2020-09-02,153.3436,153.3436,151.1334,151.4379
2020-09-03,151.4379,151.4379,149.2328,150.4196
2020-09-04,150.4196,151.2902,148.6818,149.6932
2020-09-08,149.6932,149.6932,144.5932,145.9974
2020-09-09,145.9974,147.4228,145.6662,147.0768
2020-09-10,147.0768,147.5155,146.127,146.1739
2020-09-11,146.1739,147.006,145.3431,146.4127
2020-09-14,146.4127,146.8867,146.0137,146.5006
2020-09-15,146.5006,148.0068,146.363,147.7605
2020-09-16,147.7605,149.8362,147.7605,149.7358
2020-09-17,149.7358,151.0608,148.5922,150.7809
2020-09-18,150.7809,151.5751,150.1352,151.5413
2020-09-21,151.5413,151.5413,146.9965,147.8241
2020-09-22,147.8241,148.769,146.7892,147.5151
2020-09-23,147.5151,148.8481,147.2348,147.7356
2020-09-24,147.7356,148.4867,146.8121,148.3589
2020-09-25,148.3589,148.5467,147.4539,148.3621
2020-09-28,148.3621,149.1512,147.792,148.7283
2020-09-29,148.7283,148.7283,145.5328,146.7599
2020-09-30,146.7599,148.7029,145.8793,148.5066
2020-10-01,147.7729,148.1588,144.5642,146.0574
2020-10-02,143.5338,145.1349,142.5949,144.1224
2020-10-05,146.2377,148.1466,146.1658,147.3743
2020-10-06,148.556,150.1268,148.5547,149.5058
2020-10-07,148.1321,149.6338,148.0765,149.5615
2020-10-08,150.7706,151.3683,150.4711,151.2168
2020-10-09,151.3559,152.6048,151.2724,151.7392
2020-10-12,151.7335,151.852,149.6347,149.8048
2020-10-13,150.4921,150.8431,149.7291,150.3841
2020-10-14,149.9988,151.5606,149.7934,151.513
2020-10-15,150.1533,151.7783,148.9387,151.7424
2020-10-16,151.5999,151.7471,150.648,151.4796
2020-10-19,151.9274,152.3885,151.5161,151.6144
2020-10-20,151.8739,152.5847,150.9748,152.3265
2020-10-21,152.0588,152.7307,150.7588,151.0406
2020-10-22,151.5419,152.5762,150.9264,151.7671
2020-10-23,151.7515,152.1063,150.3315,150.6847
2020-10-26,149.8278,149.9236,148.7531,149.3874
2020-10-27,150.1457,151.0899,149.4212,150.7068
2020-10-28,147.7143,147.7995,146.411,146.6627
2020-10-29,144.6615,145.2453,142.7,144.8095
2020-10-30,144.7901,144.8471,143.5212,144.7289
2020-11-02,143.1601,146.0066,143.1545,145.9063
2020-11-03,147.6599,147.768,146.6859,147.023
2020-11-04,148.0852,149.0144,146.7705,148.9042
2020-11-05,149.1854,150.3616,148.8854,149.1553
2020-11-06,148.1823,149.0763,147.6364,147.6994
